날짜,주차,차종,사출도번,등급,단가,매출단가,원재료,원재료금액,공정사출,공정사출금액,자재창고,자재창고금액,지그삽입전,지그삽입전금액,지그삽입후,지그삽입후금액,AS사출,AS사출금액,사출 총 수량,사출 총 금액,도장완료,도장완료 금액,공정창고,레이저전,인쇄,완제품 총수량,완제품 총금액,AS완제품,AS완제품금액,총수량,총금액,주간매출,주간계획,변동 수량,변동 금액
2026-08-18,34,JX1,299145856,A/S,87.0,332.0,0,0.0,55,4823.3,37,3215.5,13,1148.4,11,918.7,43,3741.0,132,11484.0,33,2871.0,6,19,8,161,14007.0,57,4959.0,326,28362.0,21,23,-13,-1131.0
2026-08-18,34,AE(IONIQ),299915149,A/S,48.0,166.0,0,0.0,185,8870.4,123,5913.6,44,2112.0,35,1689.6,144,6912.0,440,21120.0,110,5280.0,21,64,27,537,25776.0,192,9216.0,1087,52176.0,68,75,32,1536.0
2026-08-18,34,CN7(AVANTE),206661703,A/S,88.0,332.0,0,0.0,260,22915.2,174,15276.8,62,5456.0,50,4364.8,196,17248.0,620,54560.0,155,13640.0,30,91,38,757,66616.0,260,22880.0,1532,134816.0,56,62,-62,-5456.0
2026-08-18,34,DH(G80),202917852,A/S,88.0,299.0,0,0.0,434,38179.7,289,25453.1,103,9090.4,83,7272.3,350,30800.0,1033,90904.0,258,22704.0,50,151,63,1261,110968.0,463,40744.0,2552,224576.0,202,222,117,10296.0
2026-08-18,34,ON(TELLURIDE),206405939,A/S,89.0,341.0,0,0.0,29,2541.8,19,1694.6,7,605.2,5,484.2,21,1869.0,68,6052.0,17,1513.0,3,10,4,83,7387.0,28,2492.0,168,14952.0,9,10,-4,-356.0
2026-08-18,34,JX1,299745105,A/S,36.0,,0,0.0,14,499.0,9,332.6,3,118.8,3,95.0,11,396.0,33,1188.0,8,288.0,2,5,2,41,1476.0,15,540.0,82,2952.0,4,4,-5,-180.0
2026-08-18,34,EG,299624555,C,89.0,105.0,0,0.0,1256,111766.2,837,74510.8,299,26611.0,239,21288.8,174,15486.0,2990,266110.0,747,66483.0,146,438,182,3650,324850.0,231,20559.0,7387,657443.0,305,336,-517,-46013.0
2026-08-18,34,JB,299960052,E,41.0,,0,0.0,448,18373.7,299,12249.2,107,4374.7,85,3499.8,51,2091.0,1067,43747.0,267,10947.0,52,156,65,1303,53423.0,68,2788.0,2637,108117.0,144,158,-159,-6519.0
2026-08-18,34,GN7(GRANDUER),299166075,A/S,19.0,,0,0.0,24,454.9,16,303.2,6,108.3,5,86.6,21,399.0,57,1083.0,14,266.0,3,8,3,69,1311.0,27,513.0,140,2660.0,11,12,4,76.0
2026-08-18,34,LX2(PALISADE),299678174,A/S,64.0,243.0,0,0.0,8,483.8,5,322.6,2,115.2,1,92.2,6,384.0,18,1152.0,4,256.0,1,3,1,22,1408.0,7,448.0,44,2816.0,2,2,2,128.0
2026-08-18,34,SG2,299949815,,25.0,22.0,0,0.0,193,4830.0,129,3220.0,46,1150.0,37,920.0,24,600.0,460,11500.0,115,2875.0,22,67,28,562,14050.0,31,775.0,1137,28425.0,35,38,-71,-1775.0
2026-08-18,34,HG(GRANDUER),299768714,D,102.0,90.0,0,0.0,182,18592.6,122,12395.0,43,4426.8,35,3541.4,23,2346.0,434,44268.0,108,11016.0,21,63,26,529,53958.0,30,3060.0,1071,109242.0,55,61,-58,-5916.0
2026-08-18,34,NX4-PE(TUCSON),299903589,B,84.0,88.0,0,0.0,276,23214.2,184,15476.2,66,5527.2,53,4421.8,36,3024.0,658,55272.0,164,13776.0,32,96,40,803,67452.0,48,4032.0,1625,136500.0,95,105,-215,-18060.0
2026-08-18,34,NX4-PE(TUCSON),299576472,A/S,64.0,239.0,0,0.0,192,12311.0,128,8207.4,46,2931.2,37,2345.0,143,9152.0,458,29312.0,114,7296.0,22,67,28,559,35776.0,189,12096.0,1131,72384.0,47,52,44,2816.0
2026-08-18,34,VQ,299315119,A/S,62.0,234.0,0,0.0,284,17577.0,189,11718.0,68,4185.0,54,3348.0,235,14570.0,675,41850.0,169,10478.0,33,99,41,824,51088.0,311,19282.0,1668,103416.0,93,102,-29,-1798.0
2026-08-18,34,RG3(K9),299982016,D,30.0,29.0,0,0.0,47,1398.6,31,932.4,11,333.0,9,266.4,6,180.0,111,3330.0,28,840.0,5,16,7,136,4080.0,7,210.0,275,8250.0,12,13,11,330.0
2026-08-18,34,JB,299219508,A/S,101.0,413.0,0,0.0,404,40850.5,270,27233.6,96,9726.3,77,7781.0,305,30805.0,963,97263.0,241,24341.0,47,141,59,1175,118675.0,404,40804.0,2379,240279.0,130,143,229,23129.0
2026-08-18,34,EG,299834732,D,39.0,,0,0.0,534,20819.0,356,13879.3,127,4956.9,102,3965.5,66,2574.0,1271,49569.0,318,12402.0,62,186,78,1552,60528.0,88,3432.0,3141,122499.0,176,194,-11,-429.0
2026-08-18,34,JX1,299215237,A/S,188.0,,0,0.0,86,16186.8,57,10791.2,20,3854.0,16,3083.2,56,10528.0,205,38540.0,51,9588.0,10,30,12,250,47000.0,75,14100.0,506,95128.0,33,36,44,8272.0
2026-08-18,34,M-300,299136771,A/S,111.0,473.0,0,0.0,108,11934.7,72,7956.5,26,2841.6,20,2273.3,88,9768.0,256,28416.0,64,7104.0,12,37,16,312,34632.0,117,12987.0,632,70152.0,33,36,-20,-2220.0
2026-08-18,34,CV,299103388,A/S,105.0,,0,0.0,293,30781.8,195,20521.2,70,7329.0,56,5863.2,238,24990.0,698,73290.0,174,18270.0,34,102,43,851,89355.0,315,33075.0,1723,180915.0,64,70,41,4305.0
2026-08-18,34,M-300,299864208,A/S,,389.0,0,0.0,274,17525.8,183,11683.8,65,4172.8,52,3338.2,206,13184.0,652,41728.0,163,10432.0,32,96,40,796,50944.0,272,17408.0,1611,103104.0,105,116,140,8960.0
2026-08-18,34,GN7(GRANDUER),299889857,A/S,30.0,119.0,0,0.0,100,2998.8,67,1999.2,24,714.0,19,571.2,85,2550.0,238,7140.0,59,1770.0,12,35,14,290,8700.0,113,3390.0,587,17610.0,31,34,-58,-1740.0
2026-08-18,34,VQ,299982294,D,,45.0,0,0.0,643,41126.4,428,27417.6,153,9792.0,122,7833.6,85,5440.0,1530,97920.0,383,24512.0,75,224,93,1868,119552.0,112,7168.0,3781,241984.0,190,209,-145,-9280.0
2026-08-18,34,QL(TUCSON),299561431,A/S,54.0,213.0,0,0.0,128,6894.7,85,4596.5,30,1641.6,24,1313.3,92,4968.0,304,16416.0,76,4104.0,15,45,19,371,20034.0,121,6534.0,751,40554.0,39,43,38,2052.0
2026-08-18,34,AE-PE(IONIQ),299472224,B,63.0,,0,0.0,548,34530.3,365,23020.2,130,8221.5,104,6577.2,69,4347.0,1305,82215.0,326,20538.0,64,191,80,1592,100296.0,92,5796.0,3223,203049.0,127,140,-352,-22176.0
2026-08-18,34,GN7(GRANDUER),792W42213,C,12.0,14.0,0,0.0,59,710.6,39,473.8,14,169.2,11,135.4,8,96.0,141,1692.0,35,420.0,7,21,9,172,2064.0,10,120.0,348,4176.0,24,26,-6,-72.0
2026-08-18,34,ON(TELLURIDE),299253486,A/S,,2101.0,0,0.0,173,11074.6,115,7383.0,41,2636.8,33,2109.4,136,8704.0,412,26368.0,103,6592.0,20,60,25,503,32192.0,181,11584.0,1018,65152.0,53,58,4,256.0
2026-08-18,34,"SX2(KONA,HMC)",299670741,E,50.0,,0,0.0,1276,63798.0,851,42532.0,304,15190.0,243,12152.0,161,8050.0,3038,151900.0,759,37950.0,148,445,185,3708,185400.0,214,10700.0,7505,375250.0,316,348,-766,-38300.0
2026-08-18,34,NX4-PE(TUCSON),299271689,C,100.0,,0,0.0,2080,207984.0,1387,138656.0,495,49520.0,396,39616.0,253,25300.0,4952,495200.0,1238,123800.0,242,725,302,6045,604500.0,335,33500.0,12235,1223500.0,734,807,-229,-22900.0
2026-08-18,34,AE-PE(IONIQ),201464978,A/S,73.0,,0,0.0,56,4108.4,38,2739.0,13,978.2,11,782.6,45,3285.0,134,9782.0,34,2482.0,7,20,8,164,11972.0,59,4307.0,332,24236.0,17,19,6,438.0
2026-08-18,34,HG(GRANDUER),299979861,C,113.0,,0,0.0,360,40720.7,240,27147.1,86,9695.4,69,7756.3,41,4633.0,858,96954.0,214,24182.0,42,126,52,1047,118311.0,54,6102.0,2119,239447.0,98,108,-30,-3390.0
2026-08-18,34,QL(TUCSON),299491510,C,80.0,,0,0.0,2291,183254.4,1527,122169.6,545,43632.0,436,34905.6,254,20320.0,5454,436320.0,1364,109120.0,266,799,333,6658,532640.0,337,26960.0,13476,1078080.0,635,698,-110,-8800.0
2026-08-18,34,SM,299902195,A/S,51.0,174.0,0,0.0,114,5826.2,76,3884.2,27,1387.2,22,1109.8,79,4029.0,272,13872.0,68,3468.0,13,40,17,332,16932.0,105,5355.0,672,34272.0,57,63,-18,-918.0
2026-08-18,34,RG3(K9),299284211,C,325.0,,0,0.0,1500,487441.5,1000,324961.0,357,116057.5,286,92846.0,179,58175.0,3571,1160575.0,893,290225.0,174,523,218,4359,1416675.0,237,77025.0,8823,2867475.0,663,729,-417,-135525.0
2026-08-18,34,DH(G80),299549154,A/S,30.0,131.0,0,0.0,18,541.8,12,361.2,4,129.0,3,103.2,15,450.0,43,1290.0,11,330.0,2,6,3,52,1560.0,20,600.0,106,3180.0,6,7,5,150.0
2026-08-18,34,PAINT,206548709,원재료,99.0,117.0,3521,348579.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,3521,348579.0,0,0,-118,-11682.0
2026-08-18,34,PAINT,299928577,원재료,30.0,29.0,1857,55710.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,1857,55710.0,0,0,-14,-420.0
2026-08-18,34,OS(KONA),299347089,A/S,100.0,400.0,0,0.0,142,14154.0,94,9436.0,34,3370.0,27,2696.0,112,11200.0,337,33700.0,84,8400.0,16,49,21,411,41100.0,148,14800.0,832,83200.0,47,52,-18,-1800.0
2026-08-18,34,CN7(AVANTE),299604087,A/S,65.0,,0,0.0,100,6524.7,67,4349.8,24,1553.5,19,1242.8,79,5135.0,239,15535.0,60,3900.0,12,35,15,292,18980.0,104,6760.0,591,38415.0,22,24,-30,-1950.0
2026-08-18,34,CN7(AVANTE),299948368,C,73.0,,0,0.0,384,28053.9,256,18702.6,92,6679.5,73,5343.6,42,3066.0,915,66795.0,229,16717.0,45,134,56,1116,81468.0,56,4088.0,2260,164980.0,170,187,111,8103.0
2026-08-18,34,QL(TUCSON),299264842,A/S,33.0,,0,0.0,80,2633.4,53,1755.6,19,627.0,15,501.6,62,2046.0,190,6270.0,48,1584.0,9,28,12,232,7656.0,82,2706.0,470,15510.0,28,31,47,1551.0
2026-08-18,34,SM,299496649,A/S,68.0,237.0,0,0.0,112,7597.0,74,5064.6,27,1808.8,21,1447.0,93,6324.0,266,18088.0,66,4488.0,13,39,16,324,22032.0,124,8432.0,656,44608.0,28,31,-18,-1224.0
2026-08-18,34,HG(GRANDUER),299426622,E,55.0,,0,0.0,215,11804.1,143,7869.4,51,2810.5,41,2248.4,26,1430.0,511,28105.0,128,7040.0,25,75,31,624,34320.0,35,1925.0,1263,69465.0,74,81,50,2750.0
2026-08-18,34,MX5(SANTAFE),201596192,A/S,44.0,,0,0.0,252,11106.5,168,7404.3,60,2644.4,48,2115.5,222,9768.0,601,26444.0,150,6600.0,29,88,37,733,32252.0,294,12936.0,1484,65296.0,37,41,16,704.0
2026-08-18,34,RG3(K9),299465784,A/S,57.0,,0,0.0,221,12592.4,147,8395.0,53,2998.2,42,2398.6,182,10374.0,526,29982.0,132,7524.0,26,77,32,642,36594.0,241,13737.0,1300,74100.0,68,75,-98,-5586.0
2026-08-18,34,JF(K5),299476467,A/S,40.0,,0,0.0,81,3259.2,54,2172.8,19,776.0,16,620.8,74,2960.0,194,7760.0,49,1960.0,9,28,12,237,9480.0,98,3920.0,480,19200.0,24,26,-33,-1320.0
2026-08-18,34,HG(GRANDUER),299797935,A/S,41.0,146.0,0,0.0,209,8558.3,139,5705.6,50,2037.7,40,1630.2,147,6027.0,497,20377.0,124,5084.0,24,73,30,607,24887.0,194,7954.0,1228,50348.0,57,63,139,5699.0
2026-08-18,34,RG3(K9),299254199,A/S,30.0,107.0,0,0.0,49,1474.2,33,982.8,12,351.0,9,280.8,37,1110.0,117,3510.0,29,870.0,6,17,7,143,4290.0,49,1470.0,289,8670.0,13,14,-10,-300.0
2026-08-18,34,YP(CARNIVAL),299527388,A/S,262.0,1105.0,0,0.0,154,40384.7,103,26923.1,37,9615.4,29,7692.3,109,28558.0,367,96154.0,92,24104.0,18,54,22,448,117376.0,144,37728.0,907,237634.0,46,51,-3,-786.0
2026-08-18,34,QL(TUCSON),299302679,A/S,119.0,310.0,0,0.0,617,73470.6,412,48980.4,147,17493.0,118,13994.4,524,62356.0,1470,174930.0,368,43792.0,72,215,90,1794,213486.0,694,82586.0,3632,432208.0,209,230,-93,-11067.0
2026-08-18,34,PAINT,299798337,원재료,268.0,357.0,43513,11661484.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,43513,11661484.0,0,0,-4616,-1237088.0
2026-08-18,34,PAINT,299279772,원재료,43.0,50.0,905,38915.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,905,38915.0,0,0,-78,-3354.0
2026-08-18,34,TQ(STAREX),299947555,A/S,98.0,331.0,0,0.0,719,70424.8,479,46949.8,171,16767.8,137,13414.2,542,53116.0,1711,167678.0,428,41944.0,84,251,104,2088,204624.0,719,70462.0,4227,414246.0,261,287,-327,-32046.0
2026-08-18,34,JF(K5),607W73070,A,246.0,278.0,0,0.0,2296,564850.4,1531,376567.0,547,134488.2,437,107590.6,227,55842.0,5467,1344882.0,1367,336282.0,267,801,334,6673,1641558.0,302,74292.0,13507,3322722.0,590,649,1262,310452.0
2026-08-18,34,DN8(SONATA),299297538,E,133.0,,0,0.0,241,32007.8,160,21338.5,57,7620.9,46,6096.7,29,3857.0,573,76209.0,143,19019.0,28,84,35,699,92967.0,39,5187.0,1415,188195.0,84,92,-139,-18487.0
2026-08-18,34,"SX2(KONA,HMC)",299475929,A/S,23.0,86.0,0,0.0,48,1101.2,32,734.2,11,262.2,9,209.8,41,943.0,114,2622.0,28,644.0,6,17,7,139,3197.0,55,1265.0,281,6463.0,19,21,14,322.0
2026-08-18,34,ON(TELLURIDE),299829621,A/S,187.0,,0,0.0,242,45160.5,161,30107.0,58,10752.5,46,8602.0,153,28611.0,575,107525.0,144,26928.0,28,84,35,702,131274.0,202,37774.0,1421,265727.0,59,65,74,13838.0
2026-08-18,34,JX1,299196486,A/S,44.0,213.0,0,0.0,85,3751.4,57,2501.0,20,893.2,16,714.6,69,3036.0,203,8932.0,51,2244.0,10,30,12,248,10912.0,91,4004.0,502,22088.0,27,30,0,0.0
2026-08-18,34,NX4-PE(TUCSON),299484656,A/S,48.0,208.0,0,0.0,66,3185.3,44,2123.5,16,758.4,13,606.7,52,2496.0,158,7584.0,39,1872.0,8,23,10,192,9216.0,69,3312.0,389,18672.0,18,20,-4,-192.0
2026-08-18,34,TM,CA7854053A,A/S,139.0,399.0,0,0.0,89,12318.2,59,8212.1,21,2932.9,17,2346.3,68,9452.0,211,29329.0,53,7367.0,10,31,13,257,35723.0,90,12510.0,521,72419.0,36,40,26,3614.0
2026-08-18,34,JF(K5),299132640,A/S,48.0,,0,0.0,298,14313.6,199,9542.4,71,3408.0,57,2726.4,261,12528.0,710,34080.0,178,8544.0,35,104,43,867,41616.0,345,16560.0,1755,84240.0,116,128,-10,-480.0
2026-08-18,34,AD-100,299952616,C,176.0,181.0,0,0.0,885,155749.4,590,103833.0,211,37083.2,169,29666.6,104,18304.0,2107,370832.0,527,92752.0,103,309,129,2571,452496.0,138,24288.0,5205,916080.0,224,246,-267,-46992.0
2026-08-18,34,JX1,299203706,A,86.0,103.0,0,0.0,1319,113452.9,879,75635.3,314,27012.6,251,21610.1,152,13072.0,3141,270126.0,785,67510.0,153,460,192,3833,329638.0,201,17286.0,7759,667274.0,496,546,287,24682.0
2026-08-18,34,"SX2(KONA,HMC)",299911253,A/S,,917.0,0,0.0,39,2473.0,26,1648.6,9,588.8,7,471.0,29,1856.0,92,5888.0,23,1472.0,5,14,6,113,7232.0,38,2432.0,228,14592.0,12,13,-13,-832.0
2026-08-18,34,AE-PE(IONIQ),299101693,A,68.0,80.0,0,0.0,257,17507.3,172,11671.5,61,4168.4,49,3334.7,31,2108.0,613,41684.0,153,10404.0,30,90,37,748,50864.0,41,2788.0,1514,102952.0,83,91,-170,-11560.0
2026-08-18,34,YP(CARNIVAL),299416128,A/S,53.0,237.0,0,0.0,121,6433.1,81,4288.8,29,1531.7,23,1225.4,103,5459.0,289,15317.0,72,3816.0,14,42,18,353,18709.0,136,7208.0,714,37842.0,53,58,20,1060.0
2026-08-18,34,RESIN,299467535,원재료,25.0,29.0,1106,27650.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,1106,27650.0,0,0,43,1075.0
2026-08-18,34,AE(IONIQ),299420276,A/S,64.0,234.0,0,0.0,124,7929.6,83,5286.4,30,1888.0,24,1510.4,95,6080.0,295,18880.0,74,4736.0,14,43,18,360,23040.0,126,8064.0,729,46656.0,44,48,-38,-2432.0
2026-08-18,34,AE(IONIQ),299707279,A,42.0,58.0,0,0.0,1537,64562.4,1025,43041.6,366,15372.0,293,12297.6,170,7140.0,3660,153720.0,915,38430.0,179,536,223,4467,187614.0,225,9450.0,9042,379764.0,368,405,353,14826.0
2026-08-18,34,SM,299583360,E,73.0,,0,0.0,1131,82598.0,754,55065.4,269,19666.2,216,15733.0,137,10001.0,2694,196662.0,674,49202.0,132,395,164,3288,240024.0,182,13286.0,6656,485888.0,438,482,-94,-6862.0
2026-08-18,34,RESIN,299131842,원재료,66.0,82.0,5978,394548.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,5978,394548.0,0,0,234,15444.0
2026-08-18,34,EG,299149044,D,30.0,,0,0.0,129,3868.2,86,2578.8,31,921.0,25,736.8,15,450.0,307,9210.0,77,2310.0,15,45,19,712,21375.0,20,600.0,1096,32895.0,19,61,-26,-780.0
2026-08-18,34,AD-100,299228016,A/S,91.0,300.0,0,0.0,165,15020.5,110,10013.6,39,3576.3,31,2861.0,134,12194.0,393,35763.0,98,8918.0,19,57,24,479,43589.0,178,16198.0,970,88270.0,63,69,69,6279.0
2026-08-18,34,SM,437W42562,A/S,122.0,378.0,0,0.0,273,33306.0,182,22204.0,65,7930.0,52,6344.0,182,22204.0,650,79300.0,162,19764.0,32,95,40,793,96746.0,242,29524.0,1605,195810.0,81,89,101,12322.0
2026-08-18,34,HG(GRANDUER),202556704,A/S,76.0,339.0,0,0.0,29,2202.5,19,1468.3,7,524.4,6,419.5,22,1672.0,69,5244.0,17,1292.0,3,10,4,84,6384.0,30,2280.0,170,12920.0,10,11,4,304.0
2026-08-18,34,PAINT,299469079,원재료,172.0,259.0,14058,2417976.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,14058,2417976.0,0,0,781,134332.0
2026-08-18,34,RG3(K9),299535997,A,183.0,,0,0.0,2838,519419.9,1892,346279.9,676,123671.4,541,98937.1,316,57828.0,6758,1236714.0,1690,309270.0,330,990,412,8249,1509567.0,419,76677.0,16697,3055551.0,846,931,-75,-13725.0
2026-08-18,34,RG3(K9),299384474,A/S,33.0,,0,0.0,176,5793.5,117,3862.3,42,1379.4,33,1103.5,143,4719.0,418,13794.0,104,3432.0,20,61,26,510,16830.0,190,6270.0,1032,34056.0,55,61,-11,-363.0
2026-08-18,34,CV,299438238,A/S,92.0,316.0,0,0.0,104,9544.1,69,6362.7,25,2272.4,20,1817.9,79,7268.0,247,22724.0,62,5704.0,12,36,15,302,27784.0,104,9568.0,611,56212.0,51,56,-27,-2484.0
2026-08-18,34,VQ,CA6078034A,A/S,251.0,706.0,0,0.0,1078,270613.1,719,180408.8,257,64431.7,205,51545.4,807,202557.0,2567,644317.0,642,161142.0,125,376,157,3134,786634.0,1070,268570.0,6343,1592093.0,379,417,-135,-33885.0
2026-08-18,34,TQ(STAREX),299251573,A/S,35.0,145.0,0,0.0,48,1690.5,32,1127.0,12,402.5,9,322.0,38,1330.0,115,4025.0,29,1015.0,6,17,7,140,4900.0,50,1750.0,284,9940.0,17,19,-3,-105.0
2026-08-18,34,TQ(STAREX),299261811,A/S,165.0,546.0,0,0.0,677,111711.6,451,74474.4,161,26598.0,129,21278.4,541,89265.0,1612,265980.0,403,66495.0,79,236,98,1968,324720.0,717,118305.0,3983,657195.0,219,241,-49,-8085.0
2026-08-18,34,CN7(AVANTE),206563193,D,39.0,33.0,0,0.0,172,6699.4,115,4466.3,41,1595.1,33,1276.1,18,702.0,409,15951.0,102,3978.0,20,60,25,499,19461.0,24,936.0,1010,39390.0,68,75,44,1716.0
2026-08-18,34,ON(TELLURIDE),201350849,A/S,27.0,,0,0.0,3,79.4,2,52.9,1,18.9,1,15.1,3,81.0,7,189.0,2,54.0,0,1,0,9,243.0,3,81.0,18,486.0,1,1,0,0.0
2026-08-18,34,YP(CARNIVAL),201205009,A/S,115.0,,0,0.0,163,18788.7,109,12525.8,39,4473.5,31,3578.8,125,14375.0,389,44735.0,97,11155.0,19,57,24,475,54625.0,165,18975.0,961,110515.0,45,50,8,920.0
2026-08-18,34,JF(K5),CA5223915D,A/S,50.0,,0,0.0,94,4725.0,63,3150.0,22,1125.0,18,900.0,77,3850.0,225,11250.0,56,2800.0,11,33,14,275,13750.0,102,5100.0,556,27800.0,39,43,-17,-850.0
2026-08-18,34,EG,201965272,A/S,113.0,,0,0.0,270,30564.2,180,20376.2,64,7277.2,52,5821.8,234,26442.0,644,72772.0,161,18193.0,31,94,39,786,88818.0,310,35030.0,1591,179783.0,86,95,-41,-4633.0
2026-08-18,34,AD-100,202168220,A/S,97.0,,0,0.0,196,19025.6,131,12683.7,47,4529.9,37,3623.9,180,17460.0,467,45299.0,117,11349.0,23,68,28,570,55290.0,239,23183.0,1154,111938.0,73,80,-129,-12513.0
2026-08-18,34,JX1,299556161,A/S,121.0,374.0,0,0.0,666,80600.5,444,53733.7,159,19190.6,127,15352.5,477,57717.0,1586,191906.0,397,48037.0,77,232,97,1936,234256.0,633,76593.0,3919,474199.0,109,120,-145,-17545.0
2026-08-18,34,JB,118W42887,A/S,148.0,,0,0.0,666,98585.8,444,65723.8,159,23472.8,127,18778.2,481,71188.0,1586,234728.0,396,58608.0,77,232,97,1936,286528.0,637,94276.0,3918,579864.0,216,238,-72,-10656.0
2026-08-18,34,SG2,299115374,A/S,45.0,150.0,0,0.0,183,8240.4,122,5493.6,44,1962.0,35,1569.6,156,7020.0,436,19620.0,109,4905.0,21,64,27,532,23940.0,207,9315.0,1077,48465.0,75,82,-12,-540.0
2026-08-18,34,CV,201339218,A/S,42.0,199.0,0,0.0,41,1728.7,27,1152.5,10,411.6,8,329.3,30,1260.0,98,4116.0,25,1050.0,5,14,6,120,5040.0,40,1680.0,243,10206.0,19,21,15,630.0
2026-08-18,34,VQ,206862284,A/S,,,0,0.0,283,18117.1,189,12078.1,67,4313.6,54,3450.9,211,13504.0,674,43136.0,169,10816.0,33,99,41,823,52672.0,280,17920.0,1666,106624.0,109,120,-76,-4864.0
2026-08-18,34,LX2(PALISADE),206267699,,70.0,,0,0.0,511,35750.4,340,23833.6,122,8512.0,97,6809.6,430,30100.0,1216,85120.0,304,21280.0,59,178,74,1484,103880.0,571,39970.0,3004,210280.0,140,154,-149,-10430.0
2026-08-18,34,LX2(PALISADE),299907665,C,45.0,50.0,0,0.0,1121,50425.2,747,33616.8,267,12006.0,213,9604.8,131,5895.0,2668,120060.0,667,30015.0,130,391,163,3257,146565.0,174,7830.0,6592,296640.0,413,454,-762,-34290.0
2026-08-18,34,OS(KONA),299406102,A/S,58.0,198.0,0,0.0,627,36345.1,418,24230.1,149,8653.6,119,6922.9,530,30740.0,1492,86536.0,373,21634.0,73,219,91,1822,105676.0,702,40716.0,3687,213846.0,249,274,-24,-1392.0
2026-08-18,34,GN7(GRANDUER),299908222,A/S,49.0,,0,0.0,51,2490.2,34,1660.1,12,592.9,10,474.3,38,1862.0,121,5929.0,30,1470.0,6,18,7,148,7252.0,50,2450.0,299,14651.0,18,20,-8,-392.0
2026-08-18,34,"SX2(KONA,HMC)",299486521,B,53.0,,0,0.0,186,9838.9,124,6559.3,44,2342.6,35,1874.1,23,1219.0,442,23426.0,110,5830.0,22,65,27,539,28567.0,30,1590.0,1091,57823.0,82,90,-26,-1378.0
